City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Cabinda,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
84,Manzanillo,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Perbaungan,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
86,Socorro,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Soyo,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
88,Bucerias,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
89,Sawai Madhopur,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
90,Ketchikan,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Pisco,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
92,Clyde River,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
93,Guerrero Negro,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
94,Ribeira Grande,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
95,Lorengau,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
96,Yendi,GH,72.81,overcast clouds,9.4427,-0.0099,Eyarro Lodge
97,Torbay,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
98,Mayumba,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
99,Kodiak,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
100,Aksay,KZ,73.26,clear sky,46.844,74.9804,Family
101,Marcona,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
102,Payette,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
103,Bengkulu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
104,Tezu,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
105,Lima,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
106,Anchorage,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Cockburn Town,TC,82.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
108,Eldorado,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
109,Pedernales,DO,87.03,broken clouds,18.0384,-71.744,Hotel Costa Marina
110,Bathsheba,BB,83.03,few clouds,13.2167,-59.5167,Atlantis Hotel
111,Naze,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
112,Atambua,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
113,Vaitape,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
114,Kieta,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
115,Fairbanks,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
116,New Albany,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Fortuna,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Daru,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
119,Mahibadhoo,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
120,Yanam,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
121,Palabuhanratu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
122,Kutum,SD,80.42,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
123,Cove,BJ,72.48,broken clouds,11.1342,2.9386,Baric Motel De Kandi
124,Banihal,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
125,Avera,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
126,Bethel,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
127,Port Hardy,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
128,Kozan,TR,81.5,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
129,Padang,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
130,Bubaque,GW,80.38,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
131,Changping,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
132,Prince Rupert,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
133,Nanning,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
134,Iqaluit,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
135,Kuche,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
136,Lasa,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
137,Winnemucca,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
139,Tayu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
140,Petatlan,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
141,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
142,Hualmay,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
143,Juneau,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
144,Hurricane,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
146,Kashan,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
147,Pierre,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Bassar,TG,70.0,overcast clouds,9.25,0.7833,Bar Campement Sous le Néré
149,Fort Nelson,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
150,Madang,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
151,Pathein,MM,77.25,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
152,Hami,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
153,La Ronge,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
154,Hamilton,US,86.63,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
155,West Bay,KY,90.0,scattered clouds,19.3667,-81.4167,Calypso Cove
156,Gerash,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
157,Tabas,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
158,Marsh Harbour,BS,84.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
159,Turmero,VE,80.83,broken clouds,10.2239,-67.4729,Hotel Rey David
160,Morehead,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
161,Nurota,UZ,77.09,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
162,Shache,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
163,Taft,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
164,Saint George,US,86.63,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
165,Pitiquito,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
166,Dunnville,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
167,Hunza,PK,80.82,clear sky,30.9236,66.4512,Niamat parda Center chaman
168,Jertih,MY,76.69,light rain,5.7336,102.4897,One Utama Hotel
169,Sawakin,SD,80.42,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
170,Raleigh,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
171,Viligili,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
172,North Bend,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
173,Merauke,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
174,Namibe,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
175,Amarillo,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
176,Kandrian,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
177,Ixtapa,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
178,Trincomalee,LK,80.89,overcast clouds,8.5711,81.2335,Welcombe Hotel
179,Mishawaka,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
180,Male,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
181,Moose Factory,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
182,Flin Flon,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
183,Louisbourg,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
184,Mut,TR,81.5,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
185,Constitucion,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
186,Takoradi,GH,72.81,overcast clouds,9.4427,-0.0099,Eyarro Lodge
187,Ishigaki,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
188,Mehriz,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
189,Cockburn Harbour,TC,82.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
190,Jiaojiang,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
191,Mardin,TR,81.5,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
192,Diffa,NE,82.8,few clouds,13.3154,12.6113,ProDAF/Diffa
193,Porto Novo,CV,78.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
194,Goderich,CA,82.72,clear sky,43.4668,-80.5164,Comfort Inn
