City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Boyolangu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
141,Juybar,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
143,Faanui,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
144,Balkhash,KZ,73.26,clear sky,46.844,74.9804,Family
145,Wilmington,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
146,Khorramshahr,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
147,Kupang,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
148,Apango,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
149,Savannakhet,LA,77.22,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
150,Hasaki,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
152,Homer,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
154,Cabinda,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
155,Manzanillo,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
156,Perbaungan,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
157,Socorro,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
159,Soyo,AO,71.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
160,Bucerias,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
161,Sawai Madhopur,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
163,Ketchikan,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
166,Pisco,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
167,Clyde River,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
169,Guerrero Negro,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
174,Ribeira Grande,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
177,Lorengau,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
179,Yendi,GH,72.81,overcast clouds,9.4427,-0.0099,Eyarro Lodge
182,Torbay,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
184,Mayumba,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
185,Kodiak,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
186,Aksay,KZ,73.26,clear sky,46.844,74.9804,Family
188,Marcona,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
189,Payette,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
191,Bengkulu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
193,Tezu,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
194,Lima,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
196,Anchorage,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
198,Cockburn Town,TC,82.99,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
201,Eldorado,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
203,Pedernales,DO,87.03,broken clouds,18.0384,-71.744,Hotel Costa Marina
205,Bathsheba,BB,83.03,few clouds,13.2167,-59.5167,Atlantis Hotel
207,Naze,JP,80.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
208,Atambua,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
209,Vaitape,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
214,Kieta,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
218,Fairbanks,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
223,New Albany,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
224,Fortuna,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
226,Daru,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
235,Mahibadhoo,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
236,Yanam,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
242,Palabuhanratu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
243,Kutum,SD,80.42,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
246,Cove,BJ,72.48,broken clouds,11.1342,2.9386,Baric Motel De Kandi
247,Banihal,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
249,Avera,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
251,Bethel,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
253,Port Hardy,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
256,Kozan,TR,81.5,clear sky,37.4552,35.8157,Ortaklar Kiz Ogrenci Yurdu
258,Padang,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
263,Bubaque,GW,80.38,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
264,Changping,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
265,Prince Rupert,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
267,Nanning,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
268,Iqaluit,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
270,Kuche,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
271,Lasa,CN,71.96,clear sky,40.2186,116.2197,Huachang Hotel
272,Winnemucca,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
273,Wamba,CD,77.32,clear sky,-5.35,21.4167,
274,Tayu,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
275,Petatlan,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
277,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
279,Hualmay,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
280,Juneau,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
284,Hurricane,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
287,Murgab,TM,84.18,clear sky,37.4966,61.9714,
289,Kashan,IR,80.02,scattered clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
290,Pierre,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
294,Bassar,TG,70.0,overcast clouds,9.25,0.7833,Bar Campement Sous le Néré
296,Fort Nelson,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
297,Madang,PG,82.26,light rain,-2.5744,150.7967,Nusa Island Retreat
298,Pathein,MM,77.25,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
