City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Barrow,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
79,Victoria,HK,22.2855,114.1577,84.16,95,100,3.0,moderate rain
80,College,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
81,Luanda,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
82,Norman Wells,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
83,Mayo,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
84,Alice Springs,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
85,San Patricio,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
86,Moncagua,SV,13.5333,-88.25,88.34,56,100,2.48,overcast clouds
87,Lata,PT,40.1629,-8.3327,70.03,97,4,2.95,clear sky
88,San Cristobal,EC,-0.7393,-90.3518,73.54,84,79,7.0,broken clouds
89,Attawapiskat,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
90,Lompoc,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
91,Laguna,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
92,Atar,MR,20.5169,-13.0499,101.34,13,2,10.4,clear sky
93,Waterloo,CA,43.4668,-80.5164,82.72,52,2,5.99,clear sky
94,Cabo San Lucas,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
95,Riberalta,BO,-10.9833,-66.1,94.42,21,1,1.41,clear sky
96,Freeport,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
97,Sitka,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
98,Luebo,CD,-5.35,21.4167,77.32,29,0,2.44,clear sky
99,Lagoa,PT,37.7167,-25.4333,73.81,84,0,6.98,clear sky
100,Manakara,MG,-22.1333,48.0167,63.81,83,64,3.96,light rain
101,Mandera,KE,3.9366,41.867,80.71,46,66,20.22,broken clouds
102,Washim,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
103,Mahebourg,MU,-20.0064,57.6608,67.37,69,76,8.01,broken clouds
104,Celestun,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
105,Tsihombe,MG,-22.1333,48.0167,63.81,83,64,3.96,light rain
106,Narsaq,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
107,Ahvaz,IR,27.1467,57.0801,90.9,51,7,4.5,clear sky
108,Westport,US,41.1415,-73.3579,82.58,82,90,4.0,overcast clouds
109,Gao,ML,16.6362,1.637,88.88,44,34,6.24,scattered clouds
110,Portland,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
111,Tuktoyaktuk,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
112,Butaritari,KI,3.0707,172.7902,84.07,61,12,12.82,few clouds
113,Mar Del Plata,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
114,Katsuura,JP,35.1333,140.3,80.71,85,63,7.65,broken clouds
115,Batsfjord,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
116,Souillac,MU,-20.0064,57.6608,67.37,69,76,8.01,broken clouds
117,Hurghada,EG,27.2574,33.8129,89.64,66,0,0.0,dust
118,Constitucion,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
119,Wajima,JP,35.1333,140.3,80.71,85,63,7.65,broken clouds
120,Bedesa,ET,8.9,40.7833,66.06,67,77,9.71,broken clouds
121,Boddam,GB,57.4667,-1.7833,60.1,88,55,22.97,broken clouds
122,Coahuayana,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
123,Kruisfontein,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
124,Kavieng,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
125,Glenwood Springs,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
126,Rawson,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
127,Sorland,NO,70.6345,29.7185,53.38,82,0,4.61,clear sky
128,Woodward,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
129,Chaman,PK,30.9236,66.4512,80.82,13,0,5.64,clear sky
130,Acari,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
131,Faya,SA,18.3851,42.4509,68.16,67,79,2.13,broken clouds
132,Yulara,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
133,Saint-Philippe,RE,-21.3585,55.7679,65.75,80,49,13.94,light rain
134,Cuaspud,CO,0.8628,-77.7263,54.84,70,48,11.32,scattered clouds
135,Hirara,JP,35.1333,140.3,80.71,85,63,7.65,broken clouds
136,Ende,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
137,Ukiah,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
138,Boyolangu,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
139,Castro,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
140,Kalabo,ZM,-14.97,22.6814,58.96,27,0,4.52,clear sky
141,Juybar,IR,36.6412,52.9124,80.02,54,43,2.28,scattered clouds
142,Esperance,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
143,Faanui,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
144,Balkhash,KZ,46.844,74.9804,73.26,44,6,14.61,clear sky
145,Wilmington,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
146,Khorramshahr,IR,36.6412,52.9124,80.02,54,43,2.28,scattered clouds
147,Kupang,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
148,Apango,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
149,Savannakhet,LA,16.566,104.751,77.22,89,100,9.48,overcast clouds
150,Hasaki,JP,35.1333,140.3,80.71,85,63,7.65,broken clouds
151,Rio Grande,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
152,Homer,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
153,Kununurra,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
154,Cabinda,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
155,Manzanillo,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
156,Perbaungan,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
157,Socorro,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
158,Katikati,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
159,Soyo,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
160,Bucerias,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
161,Sawai Madhopur,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
162,Rosario,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
163,Ketchikan,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
164,Inhambane,MZ,-23.865,35.3833,66.94,79,0,7.02,clear sky
165,Rokytne,UA,51.2796,27.214,63.39,97,100,8.25,overcast clouds
166,Pisco,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
167,Clyde River,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
168,Ulaangom,MN,45.7625,106.2708,63.88,45,47,8.39,scattered clouds
169,Guerrero Negro,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
170,Arraial Do Cabo,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
171,Tsiroanomandidy,MG,-22.1333,48.0167,63.81,83,64,3.96,light rain
172,Quatre Cocos,MU,-20.0064,57.6608,67.37,69,76,8.01,broken clouds
173,Schwarzenbek,DE,53.5,10.4833,64.71,95,75,7.45,broken clouds
174,Ribeira Grande,PT,37.7167,-25.4333,73.81,84,0,6.98,clear sky
175,Ilulissat,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
176,Port Lincoln,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
177,Lorengau,PG,-2.5744,150.7967,82.26,71,100,2.59,light rain
178,Bardiyah,IL,31.61,34.7642,90.39,35,0,4.29,clear sky
179,Yendi,GH,9.4427,-0.0099,72.81,97,100,4.47,overcast clouds
180,Nizwa,OM,22.9333,57.5333,91.6,33,7,5.59,clear sky
181,Maragogi,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
182,Torbay,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
183,Vestmanna,FO,62.2266,-6.589,56.32,94,100,7.38,overcast clouds
184,Mayumba,GA,-0.7193,8.7815,78.76,78,75,11.5,broken clouds
185,Kodiak,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
186,Aksay,KZ,46.844,74.9804,73.26,44,6,14.61,clear sky
187,Toliary,MG,-22.1333,48.0167,63.81,83,64,3.96,light rain
188,Marcona,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
189,Payette,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
190,General Pico,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
191,Bengkulu,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
192,Port Keats,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
193,Tezu,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
194,Lima,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
195,Agapovka,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
196,Anchorage,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
197,Leningradskiy,RU,53.2973,59.1348,63.61,88,80,5.26,broken clouds
